uf,week,pred,lower_95,lower_90,lower_80,lower_50,upper_50,upper_80,upper_90,upper_95,date
AC,1,48,6,9,14,26,90,149,214,291,2025-10-05
AC,2,57,6,10,16,29,107,187,257,339.0499999999997,2025-10-12
AC,3,67,8,11,18,34,121,214,307.04999999999995,407.0749999999996,2025-10-19
AC,4,77,9,13,20,41,145,248.10000000000014,352,485.0749999999996,2025-10-26
AC,5,93,10,15,23,48,175,317.10000000000014,414.04999999999995,586.2249999999988,2025-11-02
AC,6,106,11,16,28,56,194,359,466.0999999999999,625.1249999999993,2025-11-09
AC,7,122.5,14.975000000000001,22,33,64,236,406,549,792.3999999999978,2025-11-16
AC,8,133,15,24,35,68,250,445.10000000000014,645.0999999999999,820.1499999999992,2025-11-23
AC,9,151,18,27,42.900000000000006,77.75,283.25,512.2000000000003,745.05,946.6499999999965,2025-11-30
AC,10,166,19,30,44,87,309.25,513.1000000000001,781.2499999999998,1049.5999999999967,2025-12-07
AC,11,176,21.975,32,46,91,331.25,588,828,1069.1249999999993,2025-12-14
AC,12,190,24,34.95,50,101,361,600.5000000000007,860.0999999999999,1124.7749999999958,2025-12-21
AC,13,189,23,33,50,97,366,652.8000000000011,869.0999999999999,1152.2999999999984,2025-12-28
AC,14,199,26.975,37,56,106,385.25,662.2000000000003,971,1407.0999999999995,2026-01-04
AC,15,227,28,40,65,119.75,421.25,749.3000000000004,1068.1499999999999,1427.1499999999992,2026-01-11
AC,16,237,32,46,65,126,448,774.5000000000007,1108.2999999999997,1511,2026-01-18
AC,17,244.5,30.950000000000003,42,68,124,464,780.5000000000007,1086.2499999999998,1544.4499999999975,2026-01-25
AC,18,240,29,44,66.9,126,446,757.1000000000001,1068.05,1426.199999999999,2026-02-01
AC,19,221,31,44.95,67,118,421,729.3000000000004,990.2499999999998,1383.1499999999992,2026-02-08
AC,20,216.5,32,42,61,116.75,415,690.2000000000003,984.05,1309.174999999999,2026-02-15
AC,21,203,26,39,55.900000000000006,106,368,638.1000000000001,924.2499999999998,1207.199999999999,2026-02-22
AC,22,189,22,32.95,53,98,350.25,616,822.2999999999997,1161.0999999999995,2026-03-01
AC,23,161,23,31,45,83,304.25,534.2000000000003,784.2499999999998,1084.0499999999997,2026-03-08
AC,24,141,19,29,41,72,282.25,497.2000000000003,698.2999999999997,908.0249999999999,2026-03-15
AC,25,127,16.975,24,38,66,234.25,437.10000000000014,593,776.0749999999996,2026-03-22
AC,26,110,12,20,30,58,210.25,374.10000000000014,492,681.0249999999999,2026-03-29
AC,27,101,12,17.950000000000003,27,54,198.25,343,487.04999999999995,640.0749999999996,2026-04-05
AC,28,88,10,15,23,46,169,287,399.0999999999999,556.1249999999993,2026-04-12
AC,29,81,8,13,22,42,149,259.10000000000014,375.04999999999995,502.0749999999996,2026-04-19
AC,30,74,9,13,20,38,134,232,338,470.1249999999993,2026-04-26
AC,31,67,7,12,18,35,131,225.10000000000014,313,413.1249999999993,2026-05-03
AC,32,60,6.975000000000001,10,15,29,117,191,276.49999999999955,383.02499999999986,2026-05-10
AC,33,51,6,9,14,27,98,177,250,331.2249999999988,2026-05-17
AC,34,48,5.975000000000001,8,13,25,91,155,213.0999999999999,287.02499999999986,2026-05-24
AC,35,42,5,7,11,22,78,139.10000000000014,199.04999999999995,262,2026-05-31
AC,36,37,3.9750000000000014,6,9,18.75,68.25,120,176,224.02499999999986,2026-06-07
AC,37,32,3,6,9,17,63.25,109,152.0999999999999,206.14999999999918,2026-06-14
AC,38,30,3,5,8,16,58,102,146.04999999999995,208.0749999999996,2026-06-21
AC,39,28,3,5,7,15,52,92,127,177,2026-06-28
