uf,week,pred,lower_95,lower_90,lower_80,lower_50,upper_50,upper_80,upper_90,upper_95,date
AC,1,43,4,7,10,21,88,154,220,309.02499999999986,2023-10-08
AC,2,50,5,8,13,25,99.25,176.10000000000014,270,374.2249999999988,2023-10-15
AC,3,59,7,10,16,30,115,202,291.2999999999997,419.0749999999996,2023-10-22
AC,4,68,7,10,16,33,131,235,345.3499999999997,487.1999999999989,2023-10-29
AC,5,79,8,12.950000000000003,19,39,152,283,378.0999999999999,528.0249999999999,2023-11-05
AC,6,84.5,9,15,22.900000000000006,42,165,304.2000000000003,460.0999999999999,657.0999999999995,2023-11-12
AC,7,97,10,15,24,49,184,354.2000000000003,476.39999999999964,669.0749999999996,2023-11-19
AC,8,101,11,17,25,51,186,350.10000000000014,506.14999999999986,719.0749999999996,2023-11-26
AC,9,117,12,19,29,59,221.25,407,611.1999999999998,844.3249999999982,2023-12-03
AC,10,121,12,19,30,60,231,427.10000000000014,635.1999999999998,912.0499999999997,2023-12-10
AC,11,124,13,20.950000000000003,33,65,242,461,665.05,937,2023-12-17
AC,12,142,13.975000000000001,22,34,71,280,496,696.2499999999998,949,2023-12-24
AC,13,154,15,25,38,79,306.25,601.1000000000001,810.05,1137.0249999999999,2023-12-31
AC,14,182,21,31.950000000000003,48,90,344.5,602.3000000000004,811.3999999999996,1162.3249999999982,2024-01-07
AC,15,195,23,33,49,95,377.25,720.6000000000008,1094,1423.1499999999992,2024-01-14
AC,16,200,21,34,52,99,397,701,1125.2499999999998,1589.0249999999999,2024-01-21
AC,17,205,20,33,53,102,382.25,716.5000000000007,1072.1499999999999,1403.7749999999958,2024-01-28
AC,18,207,18,31,50,100,389.5,736.3000000000004,1023.2999999999997,1405.1249999999993,2024-02-04
AC,19,191.5,24,34,53,100,386,672.2000000000003,985.05,1375.5249999999971,2024-02-11
AC,20,175,19,30,46,93,332,644.1000000000001,1007.0999999999999,1431.0499999999997,2024-02-18
AC,21,159,16,24.950000000000003,42,80,312.25,566,796.2999999999997,1094.349999999998,2024-02-25
AC,22,150,15,24,37,74.75,283,540.5000000000007,715.05,982.0249999999999,2024-03-03
AC,23,130,13,21.950000000000003,35,63,252,452.10000000000014,664.05,917.1999999999989,2024-03-10
AC,24,115,11.975000000000001,18,30,62,222,407.10000000000014,571.05,747.1249999999993,2024-03-17
AC,25,104,10,16,25,53,207.25,379.10000000000014,543,727.174999999999,2024-03-24
AC,26,92.5,9,14,22,44,180,310,482.2999999999997,659.0249999999999,2024-03-31
AC,27,86,8,12,21,42,169,288,420.0999999999999,590.0999999999995,2024-04-07
AC,28,76,8,12,19,38,146,268,380.04999999999995,545,2024-04-14
AC,29,67,7,11,17,33.75,134,235,323.2499999999998,475.0499999999997,2024-04-21
AC,30,60,6,10,16,28,119,210,316.0999999999999,421,2024-04-28
AC,31,56,5,8,14,28,109,193,307,422.0749999999996,2024-05-05
AC,32,50,5,8,12,26,95,164.10000000000014,240.0999999999999,356.09999999999945,2024-05-12
AC,33,44,4,7,11,21,84,156,239,322.02499999999986,2024-05-19
AC,34,40,3.9750000000000014,6,10,20,79,138,200.04999999999995,272.1499999999992,2024-05-26
AC,35,34,3,5,8,18,66,124,188.04999999999995,259.0749999999996,2024-06-02
AC,36,31,2,4,7,15,61.25,107,155.14999999999986,225.04999999999973,2024-06-09
AC,37,29,2,4,7,14,53,99,149,218.0749999999996,2024-06-16
AC,38,26,2,4,6,13,52,99,138,185.02499999999986,2024-06-23
AC,39,24,2.9750000000000014,4,6,12,47,87.10000000000014,123,184.02499999999986,2024-06-30
AC,40,22,2,3,5,12,44,83,122,161,2024-07-07
AC,41,22,2,3,6,11,44,83.10000000000014,119.04999999999995,160.02499999999986,2024-07-14
AC,42,22,2,3,5,11,42,78.10000000000014,114,147.04999999999973,2024-07-21
AC,43,21,1,2.950000000000003,5,10,41,74,109,143.02499999999986,2024-07-28
AC,44,21,1,2,4,10,38.25,70,98,133,2024-08-04
AC,45,19,1,2,4,10,38,70,103,137.02499999999986,2024-08-11
AC,46,20,2,3,4,10,38,68,100,153.02499999999986,2024-08-18
AC,47,21,2,3,5,10,43,79,111.04999999999995,168,2024-08-25
AC,48,22,2,3,5,11,44,84,128,181.02499999999986,2024-09-01
AC,49,25,2.9750000000000014,4,6,13,50.25,91,134,181.09999999999945,2024-09-08
AC,50,28,2,4,7,14,57,103,150,198.12499999999932,2024-09-15
AC,51,32,3,5,8,16,64,121,169.04999999999995,223,2024-09-22
AC,52,37,4,7,10,19,75,134,192,261.17499999999905,2024-09-29
AL,1,100,9,15,24,45,221.25,470,797.0999999999999,1240.1249999999993,2023-10-08
AL,2,94,7.975000000000001,13,22,43,205.25,451,802.0999999999999,1478.0999999999995,2023-10-15
AL,3,90,8,13,21,43,197.25,427.10000000000014,794.5499999999995,1236.349999999998,2023-10-22
AL,4,83,6.975000000000001,11,18,38.75,192.25,406.10000000000014,680.05,1200.6249999999966,2023-10-29
AL,5,78,7,11.950000000000003,19,36,164,359.2000000000003,643.099999999999,1202.4999999999973,2023-11-05
AL,6,75,6,10,15,34,164.25,341,609.0999999999999,1003.0249999999999,2023-11-12
AL,7,69,6,9.950000000000003,15,32,155.25,337.10000000000014,575.2499999999998,989.9499999999948,2023-11-19
AL,8,62,5,9,15,30,137,305.10000000000014,484.2499999999998,853.0749999999996,2023-11-26
AL,9,55,4,7,12,26,130.25,274.3000000000004,455.04999999999995,726.2749999999985,2023-12-03
AL,10,58,4,7,12,26,124.25,271,474,712.2249999999988,2023-12-10
AL,11,52,4,6,11,23,115,252,428.69999999999936,704.1499999999992,2023-12-17
AL,12,54,4,7,11,24,113,242,418.04999999999995,651.4999999999973,2023-12-24
AL,13,55,4,7,12,25.75,118,252,407.39999999999964,695.2749999999985,2023-12-31
AL,14,60,5,8,13,27,130,271.2000000000003,458.2499999999998,785.0249999999999,2024-01-07
AL,15,59,5,8,13,27,126.25,298.2000000000003,505.2999999999997,748.1249999999993,2024-01-14
AL,16,61,5,8,14,29,136,304,526.1999999999998,839.2999999999984,2024-01-21
AL,17,67,5,9,16,31,150,330,601.2499999999998,1049.2499999999986,2024-01-28
AL,18,73,6,10.950000000000003,17,34,162.25,312,514.1499999999999,904.2999999999984,2024-02-04
AL,19,78,6,10,16,35,169.25,351,577,863.0499999999997,2024-02-11
AL,20,83,7,11,18,38,180.25,388,628.2499999999998,1007.7499999999959,2024-02-18
AL,21,86.5,7,11.950000000000003,18,39,194.25,437.10000000000014,734.3499999999997,1217.2249999999988,2024-02-25
AL,22,95,7,12,20,41,205.25,452,732.2499999999998,1190.7999999999956,2024-03-03
AL,23,102,9,13,21,46,218,488.10000000000014,838.7499999999993,1253.7999999999956,2024-03-10
AL,24,106,10,15.950000000000003,24,50,233,500.2000000000003,901.1499999999999,1509,2024-03-17
AL,25,119,10,15,25.900000000000006,53,262,555.1000000000001,905.4999999999995,1494.4999999999973,2024-03-24
AL,26,130,11,17,28,59.75,290.25,595.2000000000003,996.05,1520.5249999999971,2024-03-31
AL,27,141,14,20,31.900000000000006,64,312,690.1000000000001,1104.4999999999995,1968.3249999999982,2024-04-07
AL,28,160.5,14,23,35,72,347,727,1151.3999999999987,1939.5999999999967,2024-04-14
AL,29,184.5,14,25.950000000000003,40,83,403.25,862.3000000000004,1367.4999999999977,2417.774999999996,2024-04-21
AL,30,199,18,27.950000000000003,46,94,426,909.6000000000022,1629.05,2696.724999999996,2024-04-28
AL,31,214,18,29,48,97.75,462.5,1003,1650.6999999999985,2655.5749999999916,2024-05-05
AL,32,237,23,33,49,106.75,511,1048.1000000000001,1705.149999999999,2866.0249999999946,2024-05-12
AL,33,253.5,21,35,56.900000000000006,121,575.25,1155,1754.4999999999995,2944.0249999999837,2024-05-19
AL,34,262,23,36.95,60,122.75,578,1236,2038.999999999999,3693.9749999999894,2024-05-26
AL,35,275.5,24.975,36,59,124,600.25,1343.0000000000014,2186.1,3358.6249999999854,2024-06-02
AL,36,282,24.975,39,64,131,602,1288.3000000000004,2152.8499999999995,3658.949999999995,2024-06-09
AL,37,278,20.975,36,61,130,596.5,1285.2000000000003,2099.3499999999995,3443.099999999994,2024-06-16
AL,38,271,22.975,40,63,131,591.25,1321.4000000000005,2232.05,3552.2249999999985,2024-06-23
AL,39,267,23.950000000000003,38,61,125.75,590,1333.2000000000003,2196.449999999999,3431.174999999955,2024-06-30
AL,40,253,25,39.95,58,121,563.25,1241.2000000000003,2158.5499999999993,3411.7499999999905,2024-07-07
AL,41,242,24,35,56,114,548,1113.3000000000004,1857.0499999999981,2914.974999999995,2024-07-14
AL,42,223,23,32.95,49,109,525.25,1077,1946.299999999998,3111.5249999999915,2024-07-21
AL,43,222,17,27,49,100,464.25,1046.1000000000001,1681.05,2573.0749999999944,2024-07-28
AL,44,195,19,26,41.900000000000006,86.75,426.5,946.1000000000001,1503.3999999999996,2540.974999999995,2024-08-04
AL,45,171,15,25,39,79,387.25,812.1000000000001,1367.2499999999998,2356.1999999999935,2024-08-11
AL,46,161,14,21.950000000000003,34,75,363,811,1397.8499999999992,2188.075,2024-08-18
AL,47,147.5,13,22,36,68,328.25,743,1311.4499999999996,2105.424999999992,2024-08-25
AL,48,137,15,22,32,62.75,295,639.2000000000003,1009.1499999999999,1757.0249999999999,2024-09-01
AL,49,122,12,17,28.900000000000006,58,282,618,989.3499999999997,1771.0999999999995,2024-09-08
AL,50,118,10,17,26,56,258.5,558,867.4999999999995,1433.199999999999,2024-09-15
AL,51,112,9,15,25.900000000000006,54,240.25,488.9000000000012,906.7499999999993,1677.5999999999967,2024-09-22
AL,52,103,10,15.950000000000003,23,46.75,233,480.10000000000014,814.1999999999998,1282.1499999999992,2024-09-29
AM,1,55,11,15,20,33,96,154,214.0999999999999,309.02499999999986,2023-10-08
AM,2,56,12,16,22,34,95.25,159.10000000000014,239.04999999999995,316.1999999999989,2023-10-15
AM,3,56,12,16,21.900000000000006,34,94,158,226.04999999999995,300,2023-10-22
AM,4,59,13,17,22,36,98,163,224.04999999999995,313.02499999999986,2023-10-29
